Clark Johnson,47640,2,9257
Cameron Crowe,11649,2,1903
M. Night Shyamalan,11614,2,9697
Paul W.S. Anderson,4014,2,395
Betty Thomas,31024,1,23398
Randall Wallace,2460,2,10590
Antoine Fuqua,20907,2,117263
Jonathan Frakes,2388,2,200
Jonathan Liebesman,66739,0,44943
Tim Burton,510,2,587
Mike Nichols,5342,2,10395
Steven Spielberg,488,2,57212
George Clooney,1461,2,152760
James Cameron,2710,2,2756
Oliver Stone,1152,2,33909
Gary Shore,1167470,0,49017
Edward Zwick,9181,2,9882
Matthew Vaughn,957,2,2270
Jean-Jacques Annaud,2352,2,978
Ron Howard,6159,2,44564
Joel Schumacher,5572,2,3132
Andrzej Bartkowiak,10765,2,8814
Betty Thomas,31024,1,8427
Måns Mårlind,80923,2,52520
Björn Stein,80924,2,52520
Adam Shankman,20739,2,80585
Gregory Hoblit,17812,2,10592
Gary McKendry,141688,0,49021
John McTiernan,1090,0,11535
Wych Kaosayananda,65615,0,10550
Mikael Salomon,30149,2,11258
Bobby Farrelly,7395,2,12610
Peter Farrelly,7396,2,12610
Dan St. Pierre,15780,0,59981
Michael Mann,638,2,201088
Kerry Conran,41378,2,5137
Michael Caton-Jones,30365,2,3093
Mikael Håfström,29605,0,107846
Renny Harlin,16938,2,188207
Phil Alden Robinson,23968,2,4614
David Slade,27571,2,24021
Frank Oz,7908,2,11371
Pierre Coffin,124747,2,20352
Chris Renaud,124748,0,20352
Joseph Ruben,52629,2,11517
Seth MacFarlane,52139,2,214756
Alejandro Amenábar,19840,2,26428
Kinka Usher,59646,0,9824
Bobby Farrelly,7395,2,48988
Peter Farrelly,7396,2,48988
Michael Mann,638,2,9008
Craig Gillespie,50767,0,300673
Ridley Scott,578,2,12113
Jay Roach,6737,2,38778
Timur Bekmambetov,23430,2,72331
Jon Amiel,15148,2,1844
Rob Bowman,12523,2,846
Doug Lefler,58656,0,9703
Steven Spielberg,488,2,857
Scott Waugh,293911,2,136797
Nancy Meyers,17698,1,3981
Chris Wedge,5713,2,425
Lawrence Kasdan,8844,2,6171
Steven Spielberg,488,2,72976
Lilly Wachowski,9339,1,603
Lana Wachowski,9340,1,603
